"actor","name","birthDate","height","nationality"
"http://dbpedia.org/resource/Christopher_Lee","Christopher Lee","1922-5-27",,"http://dbpedia.org/resource/British_people"
"http://dbpedia.org/resource/Christopher_Lee","Christopher Lee",1922-05-27,,"http://dbpedia.org/resource/British_people"
"http://dbpedia.org/resource/Ray_Milland","Ray Milland","1907-1-3",,"http://dbpedia.org/resource/Welsh_people"
"http://dbpedia.org/resource/Ray_Milland","Ray Milland",1907-01-03,,"http://dbpedia.org/resource/Welsh_people"
"http://dbpedia.org/resource/Akhil_Akkineni","Akhil Akkineni","1994-4-8",,"http://dbpedia.org/resource/Indian_American"
"http://dbpedia.org/resource/Akhil_Akkineni","Akhil Akhineni","1994-4-8",,"http://dbpedia.org/resource/Indian_American"
"http://dbpedia.org/resource/Akhil_Akkineni","Akhil Akkineni",1994-04-08,,"http://dbpedia.org/resource/Indian_American"
"http://dbpedia.org/resource/Akhil_Akkineni","Akhil Akhineni",1994-04-08,,"http://dbpedia.org/resource/Indian_American"
"http://dbpedia.org/resource/Alexander_Pope_(actor)","Alexander Pope","1763-1-1",,"http://dbpedia.org/resource/Ireland"
"http://dbpedia.org/resource/Gabriel_Soto","Gabriel Soto",1975-04-17,,"http://dbpedia.org/resource/Mexico"
"http://dbpedia.org/resource/Gabriel_Soto","Gabriel Soto","1975-4-17",,"http://dbpedia.org/resource/Mexico"
"http://dbpedia.org/resource/Girish_Kumar","Girish Kumar",1989-01-30,,"http://dbpedia.org/resource/Indian_people"
"http://dbpedia.org/resource/Girish_Kumar","Girish Kumar",1989-11-30,,"http://dbpedia.org/resource/Indian_people"
"http://dbpedia.org/resource/JC_de_Vera","JC de Vera",1986-03-10,,"http://dbpedia.org/resource/Filipino_people"
"http://dbpedia.org/resource/JC_de_Vera","JC de Vera","1986-3-10",,"http://dbpedia.org/resource/Filipino_people"
"http://dbpedia.org/resource/Richard_White_(actor)","Richard White",1953-08-04,,"http://dbpedia.org/resource/United_States"
"http://dbpedia.org/resource/Richard_White_(actor)","Richard White","1953-8-4",,"http://dbpedia.org/resource/United_States"
"http://dbpedia.org/resource/Édouard_Collin","Édouard Collin",1987-02-28,,"http://dbpedia.org/resource/French_people"
"http://dbpedia.org/resource/Édouard_Collin","Édouard Collin","1987-2-28",,"http://dbpedia.org/resource/French_people"
"http://dbpedia.org/resource/Anup_Soni","Anup Soni","1975-1-30",,"http://dbpedia.org/resource/India"
"http://dbpedia.org/resource/Anup_Soni","Anup Soni",1975-01-30,,"http://dbpedia.org/resource/India"
"http://dbpedia.org/resource/Benn_Northover","Benn Northover",1978-01-03,,"http://dbpedia.org/resource/England"
"http://dbpedia.org/resource/Benn_Northover","Benn Northover","1981-2-3",,"http://dbpedia.org/resource/England"
"http://dbpedia.org/resource/Bill_Cobbs","Bill Cobbs",1934-06-16,,"http://dbpedia.org/resource/United_States"
"http://dbpedia.org/resource/Bill_Cobbs","Bill Cobbs","1934-6-16",,"http://dbpedia.org/resource/United_States"
"http://dbpedia.org/resource/Colm_Magner","Colm Magner","1961-8-18",,"http://dbpedia.org/resource/Canadian"
"http://dbpedia.org/resource/Masaki_Okada","Masaki Okada",1989-08-15,1.8,"http://dbpedia.org/resource/Japan"
"http://dbpedia.org/resource/Masaki_Okada","Masaki Okada","1989-8-15",1.8,"http://dbpedia.org/resource/Japan"
"http://dbpedia.org/resource/Kento_Nakajima","Kento Nakajima",1994-03-13,1.76,"http://dbpedia.org/resource/Japan"
"http://dbpedia.org/resource/Kento_Nakajima","Kento Nakajima","1994-3-13",1.76,"http://dbpedia.org/resource/Japan"
"http://dbpedia.org/resource/Osman_Khalid_Butt","Osman Khalid Butt",1986-02-09,1.8,"http://dbpedia.org/resource/Pakistani"
"http://dbpedia.org/resource/Osman_Khalid_Butt","Osman Khalid Butt","1986-2-9",1.8,"http://dbpedia.org/resource/Pakistani"
"http://dbpedia.org/resource/Martin_del_Rosario","Martin del Rosario",1991-11-25,0.0,"http://dbpedia.org/resource/Filipino_people"
"http://dbpedia.org/resource/Martin_del_Rosario","Martin del Rosario",1992-11-25,0.0,"http://dbpedia.org/resource/Filipino_people"
"http://dbpedia.org/resource/Michael_Fassbender","Michael Fassbender",1977-04-02,1.524,"http://dbpedia.org/resource/Irish_people"
"http://dbpedia.org/resource/Michael_Fassbender","Michael Fassbender","1977-4-2",1.524,"http://dbpedia.org/resource/Irish_people"
"http://dbpedia.org/resource/Michael_Fassbender","Michael Fassbender",1977-04-02,1.524,"http://dbpedia.org/resource/German_people"
"http://dbpedia.org/resource/Michael_Fassbender","Michael Fassbender","1977-4-2",1.524,"http://dbpedia.org/resource/German_people"
"http://dbpedia.org/resource/Brandon_Iron","Brandon Iron",1968-07-14,1.6764,"http://dbpedia.org/resource/Canadian"
"http://dbpedia.org/resource/Brandon_Iron","Brandon Iron","1968-7-14",1.6764,"http://dbpedia.org/resource/Canadian"
"http://dbpedia.org/resource/Shun_Oguri","Shun Oguri",1982-12-26,1.84,"http://dbpedia.org/resource/Japan"
"http://dbpedia.org/resource/Cory_Michael_Smith","Cory Michael Smith",1986-11-14,1.8288,"http://dbpedia.org/resource/United_States"
"http://dbpedia.org/resource/Cory_Michael_Smith","Cory Michael Smith","1987-5-1",1.8288,"http://dbpedia.org/resource/United_States"
"http://dbpedia.org/resource/Jeremy_Shada","Jeremy Shada",1997-01-21,1.73,"http://dbpedia.org/resource/Americans"
"http://dbpedia.org/resource/Jeremy_Shada","Jeremy Shada","1997-1-21",1.73,"http://dbpedia.org/resource/Americans"
"http://dbpedia.org/resource/Paul_Salas","Paul Salas",1998-04-16,1.778,"http://dbpedia.org/resource/Filipino_people"
"http://dbpedia.org/resource/Paul_Salas","Paul Salas","1998-4-16",1.778,"http://dbpedia.org/resource/Filipino_people"
"http://dbpedia.org/resource/Jan_Uddin","Jan Uddin","1985-1-1",1.8542,"http://dbpedia.org/resource/United_Kingdom"
"http://dbpedia.org/resource/Kim_Bum","Kim Bum",1989-07-07,1.81,"http://dbpedia.org/resource/South_Korean"
"http://dbpedia.org/resource/Kim_Bum","Kim Bumm",1989-07-07,1.81,"http://dbpedia.org/resource/South_Korean"
"http://dbpedia.org/resource/Kim_Bum","Kim Bum","1989-7-7",1.81,"http://dbpedia.org/resource/South_Korean"
"http://dbpedia.org/resource/Kim_Bum","Kim Bumm","1989-7-7",1.81,"http://dbpedia.org/resource/South_Korean"
"http://dbpedia.org/resource/Ron_Jeremy","Ron Jeremy",1953-03-12,1.6764,"http://dbpedia.org/resource/United_States"
"http://dbpedia.org/resource/Ron_Jeremy","Ron Jeremy","1953-3-12",1.6764,"http://dbpedia.org/resource/United_States"
"http://dbpedia.org/resource/Satoshi_Tsumabuki","Satoshi Tsumabuki",1980-12-13,1.71,"http://dbpedia.org/resource/Japanese_people"
