"actor","name","birthDate","height","nationality"
"http://dbpedia.org/resource/Megan_Lawrence","Megan Lawrence","1972-1-1",,
"http://dbpedia.org/resource/Barry_James","Barry James",,,
"http://dbpedia.org/resource/Al_Pacino","Al Pacino",1940-04-25,1.7018,
"http://dbpedia.org/resource/Al_Pacino","Al Pacino","1940-4-25",1.7018,
"http://dbpedia.org/resource/Alan_Rickman","Alan Rickman",1946-02-21,,
"http://dbpedia.org/resource/Alan_Rickman","Alan Rickman","1946-2-21",,
"http://dbpedia.org/resource/Albert_Finney","Albert Finney",1936-05-09,,
"http://dbpedia.org/resource/Albert_Finney","Albert Finney","1936-5-9",,
"http://dbpedia.org/resource/Alyson_Hannigan","Alyson Hannigan",1974-03-24,,
"http://dbpedia.org/resource/Alyson_Hannigan","Alyson Hannigan","1974-3-24",,
"http://dbpedia.org/resource/Andie_MacDowell","Andie MacDowell",1958-04-21,,
"http://dbpedia.org/resource/Andie_MacDowell","Andie MacDowell","1958-4-21",,
"http://dbpedia.org/resource/Anthony_Quinn","Anthony Quinn",1915-04-21,,
"http://dbpedia.org/resource/Anthony_Quinn","Anthony Quinn","1915-4-21",,
"http://dbpedia.org/resource/Antonio_Banderas","Antonio Banderas",1960-08-10,,
"http://dbpedia.org/resource/Antonio_Banderas","Antonio Banderas","1960-8-10",,
"http://dbpedia.org/resource/Ashley_Judd","Ashley Judd",1968-04-19,,
"http://dbpedia.org/resource/Ashley_Judd","Ashley Judd","1968-4-19",,
"http://dbpedia.org/resource/Audrey_Hepburn","Audrey Hepburn","1929-5-4",,
"http://dbpedia.org/resource/Ava_Gardner","Ava Gardner",1922-12-24,,
"http://dbpedia.org/resource/Barbara_Stanwyck","Barbara Stanwyck",1907-07-16,,
"http://dbpedia.org/resource/Barbara_Stanwyck","Barbara Stanwyck","1907-7-16",,
"http://dbpedia.org/resource/Cameron_Diaz","Cameron Diaz",1972-08-30,1.524,
"http://dbpedia.org/resource/Cameron_Diaz","Cameron Diaz","1972-8-30",1.524,
"http://dbpedia.org/resource/Christopher_Lee","Christopher Lee",1922-05-27,,"http://dbpedia.org/resource/British_people"
"http://dbpedia.org/resource/Christopher_Lee","Christopher Lee","1922-5-27",,"http://dbpedia.org/resource/British_people"
"http://dbpedia.org/resource/Betty_Marsden","Betty Marsden",1919-02-24,,
"http://dbpedia.org/resource/Betty_Marsden","Betty Marsden","1919-2-24",,
"http://dbpedia.org/resource/Brad_Pitt","Brad Pitt",1963-12-18,,
"http://dbpedia.org/resource/Buster_Keaton","Buster Keaton",1895-10-04,,
"http://dbpedia.org/resource/Buster_Keaton","Buster Keaton","1895-10-4",,
"http://dbpedia.org/resource/Carole_Lombard","Carole Lombard",1908-10-06,,
"http://dbpedia.org/resource/Carole_Lombard","Carole Lombard","1908-10-6",,
"http://dbpedia.org/resource/Cary_Grant","Cary Grant","1904-1-18",,
"http://dbpedia.org/resource/Catherine_Deneuve","Catherine Deneuve",1943-10-22,,
"http://dbpedia.org/resource/Charlton_Heston","Charlton Heston",1923-10-04,,
"http://dbpedia.org/resource/Charlton_Heston","Charlton Heston","1923-10-4",,
"http://dbpedia.org/resource/Clark_Gable","Clark Gable",1901-02-01,,
"http://dbpedia.org/resource/Clark_Gable","Clark Gable","1901-2-1",,
"http://dbpedia.org/resource/Clint_Eastwood","Clint Eastwood",1930-05-31,,
"http://dbpedia.org/resource/Clint_Eastwood","Clint Eastwood","1930-5-31",,
"http://dbpedia.org/resource/Cybill_Shepherd","Cybill Shepherd",1950-02-18,,
"http://dbpedia.org/resource/Cybill_Shepherd","Cybill Shepherd","1950-2-18",,
"http://dbpedia.org/resource/Dan_Aykroyd","Dan Aykroyd",1952-07-01,,
"http://dbpedia.org/resource/Dan_Aykroyd","Dan Aykroyd","1952-7-1",,
"http://dbpedia.org/resource/David_Jason","David Jason",1940-02-02,,
"http://dbpedia.org/resource/David_Jason","David Jason","1940-2-2",,
"http://dbpedia.org/resource/David_Jason","(OBE)",1940-02-02,,
"http://dbpedia.org/resource/David_Jason","(OBE)","1940-2-2",,
"http://dbpedia.org/resource/David_Jason","Sir David Jason",1940-02-02,,
"http://dbpedia.org/resource/David_Jason","Sir David Jason","1940-2-2",,
"http://dbpedia.org/resource/David_Niven","David Niven",1910-03-01,,
"http://dbpedia.org/resource/David_Niven","David Niven","1910-3-1",,
"http://dbpedia.org/resource/Denise_Richards","Denise Richards",1971-02-17,,
"http://dbpedia.org/resource/Denise_Richards","Denise Richards","1971-2-17",,
"http://dbpedia.org/resource/Desmond_Llewelyn","Desmond Llewelyn",1914-09-12,,
"http://dbpedia.org/resource/Desmond_Llewelyn","Desmond Llewelyn","1914-9-12",,
"http://dbpedia.org/resource/Fred_Gwynne","Fred Gwynne",1926-07-10,1.9558,
"http://dbpedia.org/resource/Fred_Gwynne","Fred Gwynne","1926-7-10",1.9558,
"http://dbpedia.org/resource/Dudley_Moore","Dudley Moore",1935-04-19,,
"http://dbpedia.org/resource/Dudley_Moore","Dudley Moore","1935-4-19",,
"http://dbpedia.org/resource/Dudley_Moore","(CBE)",1935-04-19,,
"http://dbpedia.org/resource/Dudley_Moore","(CBE)","1935-4-19",,
"http://dbpedia.org/resource/Dustin_Hoffman","Dustin Hoffman",1937-08-08,,
"http://dbpedia.org/resource/Dustin_Hoffman","Dustin Hoffman","1937-8-8",,
"http://dbpedia.org/resource/Eileen_Heckart","Eileen Heckart",1919-03-29,,
"http://dbpedia.org/resource/Eileen_Heckart","Eileen Heckart","1919-3-29",,
"http://dbpedia.org/resource/Elizabeth_Taylor","Dame Elizabeth Taylor",1932-02-27,,
"http://dbpedia.org/resource/Elizabeth_Taylor","Dame Elizabeth Taylor","1932-2-27",,
"http://dbpedia.org/resource/Elizabeth_Taylor","Elizabeth Taylor",1932-02-27,,
"http://dbpedia.org/resource/Elizabeth_Taylor","Elizabeth Taylor","1932-2-27",,
"http://dbpedia.org/resource/Emmanuelle_Seigner","Emmanuelle Seigner",1966-06-22,,
"http://dbpedia.org/resource/Emmanuelle_Seigner","Emmanuelle Seigner","1966-6-22",,
"http://dbpedia.org/resource/Fish_(singer)","Fish",1958-04-25,,
"http://dbpedia.org/resource/Fish_(singer)","Fish","1958-4-25",,
"http://dbpedia.org/resource/Gary_Cooper","Gary Cooper",1901-05-07,,
"http://dbpedia.org/resource/Gary_Cooper","Gary Cooper","1901-5-7",,
"http://dbpedia.org/resource/Goldie_Hawn","Goldie Hawn",1945-11-21,,
"http://dbpedia.org/resource/Gwen_Verdon","Gwen Verdon",1925-01-13,,
"http://dbpedia.org/resource/Gwen_Verdon","Gwen Verdon","1925-1-13",,
"http://dbpedia.org/resource/Gwyneth_Paltrow","Gwyneth Paltrow",1972-09-27,,
"http://dbpedia.org/resource/Gwyneth_Paltrow","Gwyneth Paltrow","1972-9-27",,
"http://dbpedia.org/resource/Gérard_Depardieu","Gérard Depardieu",1948-12-27,,
"http://dbpedia.org/resource/Harrison_Ford","Harrison Ford",1942-07-13,,
"http://dbpedia.org/resource/Harrison_Ford","Harrison Ford","1942-7-13",,
"http://dbpedia.org/resource/Hayden_Christensen","Hayden Christensen",1981-04-19,,
"http://dbpedia.org/resource/Hayden_Christensen","Hayden Christensen","1981-4-19",,
"http://dbpedia.org/resource/Helen_Atkinson-Wood","Helen Atkinson-Wood","1955-3-14",,
"http://dbpedia.org/resource/Helen_Hunt","Helen Hunt",1963-06-15,,
"http://dbpedia.org/resource/Helen_Hunt","Helen Hunt","1963-6-15",,
"http://dbpedia.org/resource/Hervé_Villechaize","Hervé Villechaize",1943-04-23,,
"http://dbpedia.org/resource/Hervé_Villechaize","Hervé Villechaize","1943-4-23",,
"http://dbpedia.org/resource/Hildegard_Knef","Hildegard Knef",1925-12-28,,
"http://dbpedia.org/resource/Laetitia_Casta","Laetitia Casta",1978-05-11,1.524,"http://dbpedia.org/resource/French_people"
"http://dbpedia.org/resource/Laetitia_Casta","Laetitia Casta","1978-5-11",1.524,"http://dbpedia.org/resource/French_people"
"http://dbpedia.org/resource/Ingrid_Bergman","Ingrid Bergman",1915-08-29,,
"http://dbpedia.org/resource/Ingrid_Bergman","Ingrid Bergman","1915-8-29",,
"http://dbpedia.org/resource/Jane_Seymour_(actress)","Jane Seymour",1951-02-15,,
"http://dbpedia.org/resource/Jane_Seymour_(actress)","Jane Seymour","1951-2-15",,
"http://dbpedia.org/resource/Jean-Paul_Belmondo","Jean-Paul Belmondo",1933-04-09,,
"http://dbpedia.org/resource/Jean-Paul_Belmondo","Jean-Paul Belmondo","1933-4-9",,
"http://dbpedia.org/resource/Jean_Reno","Jean Reno",1948-07-30,,
"http://dbpedia.org/resource/Jean_Reno","Jean Reno","1948-7-30",,
"http://dbpedia.org/resource/Jeff_Bridges","Jeff Bridges",1949-12-04,,
"http://dbpedia.org/resource/Jeff_Bridges","Jeff Bridges","1949-12-4",,
"http://dbpedia.org/resource/Jennifer_Aniston","Jennifer Aniston",1969-02-11,,
"http://dbpedia.org/resource/Jennifer_Aniston","Jennifer Aniston","1969-2-11",,
"http://dbpedia.org/resource/Joan_Collins","Dame Joan Collins",1933-05-23,,
"http://dbpedia.org/resource/Joan_Collins","Dame Joan Collins","1933-5-23",,
"http://dbpedia.org/resource/Joan_Collins","Joan Collins",1933-05-23,,
"http://dbpedia.org/resource/Joan_Collins","Joan Collins","1933-5-23",,
