"actor","name","birthDate","height","nationality"
"http://dbpedia.org/resource/Mickey_Rooney","Mickey Rooney","1920-9-23",1.57,"http://dbpedia.org/resource/Americans"
"http://dbpedia.org/resource/Mickey_Rooney","Mickey Rooney",1920-09-23,1.57,"http://dbpedia.org/resource/Americans"
"http://dbpedia.org/resource/Claudette_Colbert","Claudette Colbert",1903-09-13,1.651,
"http://dbpedia.org/resource/Claudette_Colbert","Claudette Colbert","1903-9-13",1.651,
"http://dbpedia.org/resource/Bessie_Love","Bessie Love",1898-09-10,1.524,
"http://dbpedia.org/resource/Bessie_Love","Bessie Love","1898-9-10",1.524,
"http://dbpedia.org/resource/Ray_Milland","Ray Milland",1907-01-03,,"http://dbpedia.org/resource/Welsh_people"
"http://dbpedia.org/resource/Ray_Milland","Ray Milland","1907-1-3",,"http://dbpedia.org/resource/Welsh_people"
"http://dbpedia.org/resource/J._Carrol_Naish","J. Carrol Naish",1896-01-21,,"http://dbpedia.org/resource/United_States"
"http://dbpedia.org/resource/J._Carrol_Naish","J. Carrol Naish","1896-1-21",,"http://dbpedia.org/resource/United_States"
"http://dbpedia.org/resource/George_Bancroft_(actor)","George Bancroft",1882-08-30,,"http://dbpedia.org/resource/United_States"
"http://dbpedia.org/resource/George_Bancroft_(actor)","George Bancroft","1882-9-30",,"http://dbpedia.org/resource/United_States"
"http://dbpedia.org/resource/Barbara_Stanwyck","Barbara Stanwyck",1907-07-16,,
"http://dbpedia.org/resource/Barbara_Stanwyck","Barbara Stanwyck","1907-7-16",,
"http://dbpedia.org/resource/Carole_Lombard","Carole Lombard",1908-10-06,,
"http://dbpedia.org/resource/Carole_Lombard","Carole Lombard","1908-10-6",,
"http://dbpedia.org/resource/Cary_Grant","Cary Grant","1904-1-18",,
"http://dbpedia.org/resource/Clark_Gable","Clark Gable",1901-02-01,,
"http://dbpedia.org/resource/Clark_Gable","Clark Gable","1901-2-1",,
"http://dbpedia.org/resource/Gary_Cooper","Gary Cooper",1901-05-07,,
"http://dbpedia.org/resource/Gary_Cooper","Gary Cooper","1901-5-7",,
"http://dbpedia.org/resource/Ingrid_Bergman","Ingrid Bergman",1915-08-29,,
"http://dbpedia.org/resource/Ingrid_Bergman","Ingrid Bergman","1915-8-29",,
"http://dbpedia.org/resource/Katharine_Hepburn","Katharine Hepburn",1907-05-12,,
"http://dbpedia.org/resource/Katharine_Hepburn","Katharine Hepburn","1907-5-12",,
"http://dbpedia.org/resource/Laurence_Olivier","Laurence Olivier","1907-5-22",,
"http://dbpedia.org/resource/Richard_Barthelmess","Richard Barthelmess",1895-05-09,,
"http://dbpedia.org/resource/Richard_Barthelmess","Richard Barthelmess","1895-5-9",,
"http://dbpedia.org/resource/Spencer_Tracy","Spencer Tracy",1900-04-05,,
"http://dbpedia.org/resource/Spencer_Tracy","Spencer Tracy","1900-4-5",,
"http://dbpedia.org/resource/Agnes_Moorehead","Agnes Moorehead",1900-12-06,,
"http://dbpedia.org/resource/Agnes_Moorehead","Agnes Moorehead","1900-12-6",,
"http://dbpedia.org/resource/Celia_Johnson","Celia Johnson",1908-12-18,,
"http://dbpedia.org/resource/Dorothy_McGuire","Dorothy McGuire",1916-06-14,,
"http://dbpedia.org/resource/Dorothy_McGuire","Dorothy McGuire","1916-6-14",,
"http://dbpedia.org/resource/Loretta_Young","Loretta Young",1913-01-06,,
"http://dbpedia.org/resource/Loretta_Young","Loretta Young","1913-1-6",,
"http://dbpedia.org/resource/Susan_Hayward","Susan Hayward",1917-06-30,,
"http://dbpedia.org/resource/Susan_Hayward","Susan Hayward","1917-6-30",,
"http://dbpedia.org/resource/Angela_Lansbury","Angela Lansbury",1925-10-16,,
"http://dbpedia.org/resource/Betty_Compson","Betty Compson",1897-03-19,,
"http://dbpedia.org/resource/Betty_Compson","Betty Compson","1897-3-19",,
"http://dbpedia.org/resource/Corinne_Griffith","Corinne Griffith",1894-11-21,,
"http://dbpedia.org/resource/Gladys_Cooper","Gladys Cooper",1888-12-18,,
"http://dbpedia.org/resource/Gladys_George","Gladys George",1904-09-13,,
"http://dbpedia.org/resource/Gladys_George","Gladys George","1904-9-13",,
"http://dbpedia.org/resource/Jean_Arthur","Jean Arthur",1900-10-17,,
"http://dbpedia.org/resource/Jean_Simmons","Jean Simmons",1929-01-31,,
"http://dbpedia.org/resource/Jean_Simmons","Jean Simmons","1929-1-31",,
"http://dbpedia.org/resource/Jeanne_Eagels","Jeanne Eagels",1890-06-26,,
"http://dbpedia.org/resource/Jeanne_Eagels","Jeanne Eagels","1890-6-26",,
"http://dbpedia.org/resource/Louise_Dresser","Louise Dresser",1878-10-17,,
"http://dbpedia.org/resource/Louise_Dresser","Louise Dresser","1878-10-5",,
"http://dbpedia.org/resource/Luise_Rainer","Luise Rainer",1910-01-12,,
"http://dbpedia.org/resource/Luise_Rainer","Luise Rainer","1910-1-12",,
"http://dbpedia.org/resource/Lynn_Fontanne","Lynn Fontanne",1887-12-06,,
"http://dbpedia.org/resource/Lynn_Fontanne","Lynn Fontanne","1887-12-6",,
"http://dbpedia.org/resource/Martha_Scott","Martha Scott",1912-09-22,,
"http://dbpedia.org/resource/Martha_Scott","Martha Scott","1912-9-22",,
"http://dbpedia.org/resource/May_Robson","May Robson",1858-04-19,,
"http://dbpedia.org/resource/May_Robson","May Robson","1858-4-19",,
"http://dbpedia.org/resource/Nancy_Carroll","Nancy Carroll",1903-11-19,,
"http://dbpedia.org/resource/Maria_Ouspenskaya","Maria Ouspenskaya",1876-07-29,,
"http://dbpedia.org/resource/Maria_Ouspenskaya","Maria Ouspenskaya","1876-7-29",,
"http://dbpedia.org/resource/Edmund_Gwenn","Edmund Gwenn",1877-09-26,,
"http://dbpedia.org/resource/Edmund_Gwenn","Edmund Gwenn","1877-9-26",,
"http://dbpedia.org/resource/Jane_Darwell","Jane Darwell",1879-10-15,,
"http://dbpedia.org/resource/Aline_MacMahon","Aline MacMahon",1899-05-03,,
"http://dbpedia.org/resource/Aline_MacMahon","Aline MacMahon","1899-5-3",,
"http://dbpedia.org/resource/Joan_Fontaine","Joan Fontaine",1917-10-22,,
"http://dbpedia.org/resource/Rosalind_Russell","Rosalind Russell",1907-06-04,,
"http://dbpedia.org/resource/Rosalind_Russell","Rosalind Russell","1907-6-4",,
"http://dbpedia.org/resource/Teresa_Wright","Teresa Wright",1918-10-27,,
"http://dbpedia.org/resource/William_Demarest","William Demarest",1892-02-27,,
"http://dbpedia.org/resource/William_Demarest","William Demarest","1892-2-27",,
"http://dbpedia.org/resource/Emil_Jannings","Emil Jannings",1884-07-23,,
"http://dbpedia.org/resource/Emil_Jannings","Emil Jannings","1884-7-23",,
"http://dbpedia.org/resource/José_Ferrer","José Ferrer",1912-01-08,,
"http://dbpedia.org/resource/José_Ferrer","José Ferrer","1912-1-8",,
"http://dbpedia.org/resource/George_Arliss","George Arliss",1868-04-10,,
"http://dbpedia.org/resource/George_Arliss","George Arliss","1868-4-10",,
"http://dbpedia.org/resource/Charlie_Chaplin","Charles Chaplin",1889-04-16,,
"http://dbpedia.org/resource/Charlie_Chaplin","Charles Chaplin","1889-4-16",,
"http://dbpedia.org/resource/Eve_Arden","Eve Arden",1908-04-30,,
"http://dbpedia.org/resource/Eve_Arden","Eve Arden","1908-4-30",,
"http://dbpedia.org/resource/Humphrey_Bogart","Humphrey Bogart",1899-12-25,,
"http://dbpedia.org/resource/James_Stewart","James Stewart",1908-05-20,,
"http://dbpedia.org/resource/James_Stewart","James Stewart","1908-5-20",,
"http://dbpedia.org/resource/Mary_Pickford","Mary Pickford",1892-04-08,,
"http://dbpedia.org/resource/Mary_Pickford","Mary Pickford","1892-4-8",,
"http://dbpedia.org/resource/Orson_Welles","Orson Welles",1915-05-06,,
"http://dbpedia.org/resource/Orson_Welles","Orson Welles","1915-5-6",,
"http://dbpedia.org/resource/Anne_Baxter","Anne Baxter",1923-05-07,,
"http://dbpedia.org/resource/Anne_Baxter","Anne Baxter","1923-5-7",,
"http://dbpedia.org/resource/Gloria_Swanson","Gloria Swanson",1899-03-27,,
"http://dbpedia.org/resource/Gloria_Swanson","Gloria Swanson","1899-3-27",,
